,mean,std
Coherency20,0.011325242481844378,0.00021832286918595573
Energy20,0.024809182629039382,0.0003960288837988167
MeanInt20,0.0009533557537652282,0.00013623176308785671
VarInt20,0.005050445971633321,0.00024102247595617096
Density20,0.0003202222547156519,0.00016778268852185626
VarDensity20,0.0007247648291661025,0.00011839022005582066
OrientationRef20,0.001592338061120091,0.0002235363260133961
Coherency60,0.012621728322854265,0.00035667741544889904
Energy60,0.03160549787980703,0.0004672098564205514
MeanInt60,0.0031193644294975286,0.0002289434726416596
VarInt60,0.01039674416337677,0.0004021421982222523
Density60,0.002012964858410149,0.00026313318458230585
VarDensity60,0.0010240288541210174,0.00021519113141684032
OrientationRef60,0.0054554759467759,0.0002149437052200694
Coherency100,0.010337768679631565,0.00025043100996569555
Energy100,0.027474777014183403,0.00035164532832606733
MeanInt100,0.007042940000974862,0.00030700827561972545
VarInt100,0.018529512111907266,0.0004413496024809227
Density100,0.00393722279085641,0.000244282581759201
VarDensity100,0.0018389628113272493,0.0002619664235096227
OrientationRef100,0.006742701174635701,0.00022809310912452426
Coherency140,0.011261392991178088,0.000223750895102523
Energy140,0.035916069600818876,0.0003937850726224969
MeanInt140,0.013600916313301214,0.0003744001974058763
VarInt140,0.02561046936686654,0.00047650865202339464
Density140,0.00840425013403524,0.0001520197992498535
VarDensity140,0.005652873227080024,0.00029659283271843596
OrientationRef140,0.010132085587561578,0.0002450787163827181
